Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Dashboard,Chrome 68.0.3440.106,This Test Suite contain all cases (CRUD) on dashboard topads,2018-08-20 15:19:58,2018-08-20 15:20:58,59.954s,PASSED
,,,,,,
Test Cases/Dashboard - Negative - Create New Group with Group Name Empty,Chrome 68.0.3440.106,,2018-08-20 15:19:58,2018-08-20 15:20:12,13.452s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-20 15:19:59,2018-08-20 15:20:02,3.549s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:02,2018-08-20 15:20:05,2.855s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:05,2018-08-20 15:20:05,0.387s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-20 15:20:05,2018-08-20 15:20:06,0.354s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:06,2018-08-20 15:20:07,1.298s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:07,2018-08-20 15:20:09,2.217s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:09,2018-08-20 15:20:09,0.172s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:09,2018-08-20 15:20:10,1.030s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:10,2018-08-20 15:20:11,0.158s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:11,2018-08-20 15:20:11,0.221s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-08-20 15:20:11,2018-08-20 15:20:11,0.126s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:11,2018-08-20 15:20:12,0.748s,PASSED
,,,,,,
Test Cases/Dashboard - Negative - Create New Group With Group Name More Than 70 Chars,Chrome 68.0.3440.106,,2018-08-20 15:20:12,2018-08-20 15:20:24,12.564s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:12,2018-08-20 15:20:14,1.999s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:14,2018-08-20 15:20:17,2.827s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:17,2018-08-20 15:20:17,0.326s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-20 15:20:17,2018-08-20 15:20:17,0.218s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:17,2018-08-20 15:20:19,1.888s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:19,2018-08-20 15:20:21,1.806s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:21,2018-08-20 15:20:21,0.149s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:21,2018-08-20 15:20:22,1.070s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:22,2018-08-20 15:20:23,0.862s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:23,2018-08-20 15:20:23,0.151s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:23,2018-08-20 15:20:23,0.174s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-08-20 15:20:23,2018-08-20 15:20:23,0.098s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:23,2018-08-20 15:20:24,0.745s,PASSED
,,,,,,
Test Cases/Dashboard - Negative - Create New Group With Group Name with Invalid Chars,Chrome 68.0.3440.106,,2018-08-20 15:20:24,2018-08-20 15:20:39,15.194s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:24,2018-08-20 15:20:27,2.033s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:27,2018-08-20 15:20:30,3.113s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:30,2018-08-20 15:20:30,0.285s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-20 15:20:30,2018-08-20 15:20:30,0.215s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:30,2018-08-20 15:20:36,5.757s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:36,2018-08-20 15:20:38,1.666s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:38,2018-08-20 15:20:38,0.174s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:38,2018-08-20 15:20:39,1.075s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:39,0.228s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:39,0.146s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:39,0.148s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:39,0.071s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:39,0.001s,NOT_RUN
,,,,,,
Test Cases/Dashboard - Positive - Create New Group,Chrome 68.0.3440.106,,2018-08-20 15:20:39,2018-08-20 15:20:56,17.052s,PASSED
"Statement - randGroup = ""grup"" + org.apache.commons.lang.RandomStringUtils.randomNumeric(5)",Chrome 68.0.3440.106,,2018-08-20 15:20:40,2018-08-20 15:20:40,0.002s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-20 15:20:40,2018-08-20 15:20:43,2.881s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:43,2018-08-20 15:20:46,2.954s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:46,2018-08-20 15:20:46,0.316s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-20 15:20:46,2018-08-20 15:20:46,0.220s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:46,2018-08-20 15:20:52,5.355s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-20 15:20:52,2018-08-20 15:20:54,1.949s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:54,2018-08-20 15:20:54,0.168s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:54,2018-08-20 15:20:55,1.514s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:55,2018-08-20 15:20:56,0.343s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:56,2018-08-20 15:20:56,0.156s,PASSED
setText,Chrome 68.0.3440.106,,2018-08-20 15:20:56,2018-08-20 15:20:56,0.303s,PASSED
click,Chrome 68.0.3440.106,,2018-08-20 15:20:56,2018-08-20 15:20:56,0.167s,PASSED
waitForPageLoad,Chrome 68.0.3440.106,,2018-08-20 15:20:56,2018-08-20 15:20:56,0.133s,PASSED
Statement - url = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getUrl(),Chrome 68.0.3440.106,Verify the name of new group is appear on the page,2018-08-20 15:20:56,2018-08-20 15:20:56,0.035s,PASSED
executeJavaScript,Chrome 68.0.3440.106,,2018-08-20 15:20:56,2018-08-20 15:20:56,0.115s,PASSED
